[00:02:17] Escort,137.50,False,6.67,0,MG Log
[00:02:17] 1,1,1,1,0,0,Information Log
[00:02:18] Escort,138.51,False,6.67,0,MG Log
[00:02:18] 1,1,1,1,0,0,Information Log
[00:02:18] 138.67,Coronet,Lúcio,140,0,0,244.50,0,0,0,0,0,181.14,0,0,0,0,0,29,0,0,200,200,Player Log
[00:02:19] Escort,139.52,False,6.67,0,MG Log
[00:02:19] 1,1,1,1,0,0,Information Log
[00:02:20] Escort,140.53,False,6.67,0,MG Log
[00:02:20] 1,1,1,1,0,0,Information Log
[00:02:21] Escort,141.54,False,6.67,0,MG Log
[00:02:21] 1,1,1,1,0,0,Information Log
[00:02:22] Escort,142.54,False,6.67,0,MG Log
[00:02:22] 1,1,1,1,0,0,Information Log
[00:02:22] 142.69,morning,Ramattra,244.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,42,0,0,310,450,Player Log
[00:02:23] Escort,143.55,False,6.67,0,MG Log
[00:02:23] 1,1,1,1,0,0,Information Log
[00:02:24] Escort,144.56,False,6.67,0,MG Log
[00:02:24] 1,1,1,1,0,0,Information Log
[00:02:25] Escort,145.57,False,6.67,0,MG Log
[00:02:25] 1,1,1,1,0,0,Information Log
[00:02:26] Escort,146.57,False,6.67,0,MG Log
[00:02:26] 1,1,1,1,0,0,Information Log
[00:02:26] 146.67,Coronet,Lúcio,140,0,0,244.50,0,0,0,0,0,181.14,0,0,0,0,0,31,0,0,200,200,Player Log
[00:02:27] Escort,147.58,False,6.67,0,MG Log
[00:02:27] 1,1,1,1,0,0,Information Log
[00:02:28] Escort,148.59,False,6.67,0,MG Log
[00:02:28] 1,1,1,1,0,0,Information Log
[00:02:29] Escort,149.60,False,6.67,0,MG Log
[00:02:29] 1,1,1,1,0,0,Information Log
[00:02:30] Escort,150.61,False,6.67,0,MG Log
[00:02:30] 1,1,1,1,0,0,Information Log
[00:02:30] 150.69,morning,Ramattra,244.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,44,0,0,310,450,Player Log
[00:02:31] Escort,151.62,False,6.67,0,MG Log
[00:02:31] 1,1,1,1,0,0,Information Log
[00:02:32] Escort,152.62,False,6.67,0,MG Log
[00:02:32] 1,1,1,1,0,0,Information Log
[00:02:33] Escort,153.63,False,6.67,0,MG Log
[00:02:33] 1,1,1,1,0,0,Information Log
[00:02:34] Escort,154.64,False,6.67,0,MG Log
[00:02:34] 1,1,1,1,0,0,Information Log
[00:02:34] 154.67,Coronet,Lúcio,140,0,0,270.30,0,0,0,0,0,197.82,0,0,0,0,0,33,0,0,198.08,200,Player Log
[00:02:35] Escort,155.65,False,6.67,0,MG Log
[00:02:35] 1,1,1,1,0,0,Information Log
[00:02:36] Escort,156.65,False,6.67,0,MG Log
[00:02:36] 1,1,1,1,0,0,Information Log
[00:02:37] Escort,157.66,False,6.67,0,MG Log
[00:02:37] 1,1,1,1,0,0,Information Log
[00:02:38] Escort,158.67,False,6.67,0,MG Log
[00:02:38] 1,1,1,1,0,0,Information Log
[00:02:38] 158.69,morning,Ramattra,358.50,0,0,140,0,0,0,0,0,0,0,0,0,0,0,53,0,6.74,535,675,Player Log
[00:02:39] Escort,159.68,False,6.67,0,MG Log
[00:02:39] 1,1,1,1,0,0,Information Log
[00:02:40] Escort,160.69,False,6.67,0,MG Log
[00:02:40] 1,1,1,1,0,0,Information Log
[00:02:41] Escort,161.70,False,6.67,0,MG Log
[00:02:41] 1,1,1,1,0,0,Information Log
[00:02:42] 162.67,Coronet,Lúcio,191,0,0,478.50,0,0,0,0,0,289.26,0,0,0,0,0,39,0,0,129.20,200,Player Log
[00:02:42] Escort,162.70,False,6.67,0,MG Log
[00:02:42] 1,1,1,1,0,0,Information Log
