[00:01:44] Lijiang Tower,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,Coronet,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:03:15] 195.29,RAT,Lúcio,705.62,287.04,0,660.88,2,2,2,1,0,790.70,0,0,0,0,0,71,0,0,0,200,Player Log
[00:03:16] 196.10,ENIGMA,Kiriko,124,160,0,935.25,3,0,0,0,0,1472.17,0,0,0,0,0,73,2.25,0,0,200,Player Log
[00:03:16] 196.90,Chappadoodle,Winston,948.41,281.46,1420.00,1411.54,1,5,1,0,0,0,0,0,0,0,0,74,0,0,374.69,550,Player Log
[00:03:17] 197.70,Bunny,Sombra,1158.17,669.63,0,429.82,0,8,2,0,0,0,0,0,1,0,0,100,0,0,186.42,200,Player Log
[00:03:18] 198.49,mmmatt,Reaper,1856.60,623.55,0,978.65,0,9,6,0,0,231.86,1,0,1,0,967.05,100,0,0,238.40,250,Player Log
[00:03:19] 199.29,Muttnik,Lúcio,1172.29,85,0,140.58,0,7,1,0,0,740.92,1,0,0,0,0,89,0,0,200,200,Player Log
[00:03:20] 200.10,LiamFox,Ana,806.78,375.00,0,405.78,1,6,0,0,0,1391.98,1,0,1,0,0,100,0,0,200,200,Player Log
[00:03:20] Control,200.88,0,42.77,False,[DE] Supernova,0,MG Log
[00:03:20] 0,1,0,0,Information Log
[00:03:20] 200.93,Geumeon,Winston,1057.79,190.56,2034.64,2251.96,2,2,0,0,0,0,0,0,0,0,0,80,0,0,550,550,Player Log
[00:03:21] 201.70,Coronet,Sombra,745.74,480,0,1124.64,2,1,0,1,0,240.58,0,0,0,0,0,78,0,0,200,200,Player Log
[00:03:22] 202.49,HOUSE,Reaper,733.22,302.40,0,1111.71,3,1,0,0,0,89.07,0,0,0,0,361.71,55,0,0,250,250,Player Log
[00:03:23] 203.29,RAT,Lúcio,705.62,287.04,0,660.88,2,2,2,1,0,790.70,0,0,0,0,0,73,0,0,200,200,Player Log
[00:03:24] 204.10,ENIGMA,Kiriko,124,160,0,935.25,3,0,0,0,0,1472.17,0,0,0,0,0,75,0,0,200,200,Player Log
[00:03:24] 204.90,Chappadoodle,Winston,948.41,281.46,1420.00,1417.21,1,5,1,0,0,0,0,0,0,0,0,76,0,0,550,550,Player Log
[00:03:25] 205.70,Bunny,Sombra,1158.17,669.63,0,429.82,0,8,2,0,0,0,0,0,1,0,0,100,0,0,186.68,200,Player Log
[00:03:26] 206.49,mmmatt,Reaper,1870.85,623.55,0,983.51,0,9,6,0,0,236.85,1,0,1,0,972.29,100,0,0,238.79,250,Player Log
[00:03:27] 207.29,Muttnik,Lúcio,1212.29,85,0,140.58,0,7,1,0,0,741.43,1,0,0,0,0,92,0,0,200,200,Player Log
[00:03:28] 208.10,LiamFox,Ana,859.28,375.00,0,405.78,1,6,0,0,0,1453.65,1,0,1,0,0,100,0,0,200,200,Player Log
[00:03:28] Control,208.88,0,49.44,False,[DE] Supernova,0,MG Log
[00:03:28] 0,1,0,0,Information Log
[00:03:28] 208.93,Geumeon,Winston,1057.79,190.56,2034.64,2308.99,2,2,0,0,0,0,0,0,0,0,0,82,0,0,550,550,Player Log
[00:03:29] 209.70,Coronet,Sombra,745.74,480,0,1129.50,2,1,0,1,0,240.58,0,0,0,0,0,81,0,0,196.76,200,Player Log
[00:03:30] 210.49,HOUSE,Reaper,752.83,302.40,0,1113.33,3,1,0,0,0,90.69,0,0,0,0,363.33,58,0,0,250,250,Player Log
[00:03:31] 211.29,RAT,Lúcio,761.62,287.04,0,705.74,2,2,2,1,0,805.34,0,0,0,0,0,76,0,0,200,200,Player Log
[00:03:32] 212.10,ENIGMA,Kiriko,124,160,0,935.25,3,0,0,0,0,1561.04,0,0,0,0,0,79,0,0,200,200,Player Log
[00:03:32] 212.90,Chappadoodle,Winston,958.97,281.46,1420.00,1569.78,1,5,1,0,0,0,0,0,0,0,0,79,3.43,0,453.43,550,Player Log
[00:03:33] 213.70,Bunny,Sombra,1599.83,669.63,0,429.82,0,8,2,0,0,0,0,0,1,1,0,0,4.92,0,186.68,200,Player Log
[00:03:34] 214.49,mmmatt,Reaper,2018.27,623.55,0,1161.71,0,9,6,0,0,248.06,1,0,1,0,983.51,100,0,9.44,71.80,250,Player Log
[00:03:35] 215.29,Muttnik,Lúcio,1212.29,85,0,140.58,0,7,1,0,0,741.43,1,0,0,0,0,94,0,11.28,200,200,Player Log
[00:03:36] 216.10,LiamFox,Ana,859.28,375.00,0,405.78,1,6,0,0,0,1603.65,1,0,1,0,0,100,0,5.71,200,200,Player Log
[00:03:36] Control,216.88,0,56.11,False,[DE] Supernova,0,MG Log
[00:03:36] 0,1,0,0,Information Log
[00:03:36] 216.93,Geumeon,Winston,1225.79,309.60,2412.14,2612.03,2,2,0,0,0,0,0,0,0,0,0,94,0,9.58,321.84,550,Player Log
[00:03:37] 217.47,FinalBlow,Chappadoodle,ENIGMA,Primary Fire
[00:03:37] 217.70,Coronet,Sombra,840.99,600,0,1245.70,2,1,0,1,0,240.58,0,0,0,0,0,90,0,1.49,195.37,200,Player Log
[00:03:38] 218.49,HOUSE,Reaper,992.41,302.40,0,1270.69,3,1,0,0,0,170.07,0,0,0,0,509.13,72,0,0,238.44,250,Player Log
[00:03:39] 219.29,RAT,Lúcio,841.12,312.04,0,907.61,2,2,2,1,0,1284.96,0,0,0,0,0,97,0,10.37,125.00,200,Player Log
[00:03:40] 220.10,ENIGMA,Kiriko,264,160,0,1207.72,4,0,0,0,0,1611.04,0,0,0,0,0,88,0,9.27,0,200,Player Log
[00:03:40] 220.90,Chappadoodle,Winston,1148.17,282.46,2018.44,1739.53,1,6,2,0,0,0,0,0,0,0,0,91,3.79,4.88,453.90,550,Player Log
[00:03:41] 221.70,Bunny,Sombra,1867.92,872.13,0,703.02,0,9,2,0,0,75,0,0,1,1,0,3,0,5.72,4.35,200,Player Log
[00:03:42] 222.49,mmmatt,Reaper,2177.25,623.55,0,1223.09,0,9,6,0,0,252.11,1,0,1,0,1223.09,100,3.53,1.44,245.20,250,Player Log
[00:03:43] 223.29,Muttnik,Lúcio,1355.97,325,0,248.25,0,7,1,0,0,806.77,1,0,1,0,0,100,0,3.28,185.57,200,Player Log
[00:03:44] 224.10,LiamFox,Ana,1039.28,450.00,0,465.78,1,6,0,0,0,1903.18,1,0,1,0,0,100,11.96,9.53,151.01,200,Player Log
[00:03:44] Control,224.88,0,62.77,False,[DE] Supernova,2,MG Log
[00:03:44] 0,1,0,0,Information Log
[00:03:44] 224.93,Geumeon,Winston,1363.41,324.00,2553.14,3356.29,2,2,0,0,0,0,0,0,1,1,0,0,0,1.58,1294.92,1318.72,Player Log
[00:03:45] 225.70,Coronet,Sombra,1125.99,900,0,1451.08,2,1,0,1,0,240.58,0,0,1,1,0,0,0,2.29,492,492,Player Log
[00:03:46] 226.49,HOUSE,Reaper,1144.07,302.40,0,1668.65,3,1,0,0,0,223.14,0,0,0,0,628.77,81,0,0,329.43,412.24,Player Log
[00:03:47] 227.29,RAT,Lúcio,961.12,332.04,0,1276.85,2,2,2,1,0,1495.62,0,0,1,1,0,0,0.00,2.36,160.40,200,Player Log
[00:03:48] 228.10,ENIGMA,Kiriko,264,160,0,1207.72,4,0,0,0,0,1611.04,0,0,0,0,0,89,0,0,200,200,Player Log
[00:03:48] 228.51,Suicide,Chappadoodle
[00:03:48] 228.90,Chappadoodle,Winston,1406.41,282.46,2018.44,2874.62,2,6,2,1,0,0,0,0,1,1,0,0,0,0,0,550,Player Log
