[00:03:14] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:03:14] Geumeon,Apollo,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:05:03] 303.38,Bunny,Sombra,1274.79,260.77,0,690.67,1,2,1,0,0,0,1,0,1,0,0,100,0,0,200,200,Player Log
[00:05:04] 304.17,mmmatt,Tracer,1352.74,60.50,0,597.80,1,1,1,0,0,0,0,0,1,1,0,25,0,0,146.70,150,Player Log
[00:05:04] 304.98,Muttnik,Zenyatta,734.40,288,0,497.61,1,1,0,0,0,603.61,1,0,0,0,0,69,0,0,105.83,200,Player Log
[00:05:05] 305.77,LiamFox,Ana,587.98,114.23,0,234.54,1,1,1,0,0,911.21,0,0,0,0,0,86,0,0,200,200,Player Log
[00:05:06] Hybrid,306.56,False,33.33,0,0,MG Log
[00:05:06] 0,1,0,0,Information Log
[00:05:06] 306.59,Geumeon,Winston,568.15,0,650,2277.58,1,1,0,0,0,0,0,0,0,0,0,58,0,0,495.40,550,Player Log
[00:05:07] 307.38,Apollo,Cassidy,1480.85,0,0,692.46,0,4,1,0,0,0,3,0,0,0,0,99,0,0,225,225,Player Log
[00:05:08] 308.17,HOUSE,Tracer,664.08,0,0,421.97,1,2,2,0,0,0,0,0,0,0,0,93,0,0,146.54,150,Player Log
[00:05:08] 308.35,FinalBlow,Geumeon,Muttnik,Primary Fire
[00:05:08] 308.98,RAT,Brigitte,811.66,0,411.50,599.53,0,3,1,0,1,1743.84,2,1,1,0,0,100,3.47,0,166.40,200,Player Log
[00:05:09] 309.77,ENIGMA,Ana,221,0,0,851.62,1,0,0,0,0,2106.26,0,0,1,1,0,0,0,0,200,200,Player Log
[00:05:10] 310.58,Chappadoodle,D.Va,894.38,632.42,652,1879.01,1,2,0,1,0,0,1,0,0,0,0,83,2.92,0,505.71,650,Player Log
[00:05:11] 311.38,Bunny,Sombra,1274.79,260.77,0,690.67,1,2,1,0,0,0,1,0,1,1,0,0,5.62,0,200,200,Player Log
[00:05:12] 312.17,mmmatt,Tracer,1538.46,80.30,0,604.40,1,1,1,0,0,0,0,0,1,1,0,41,0,0,140.10,150,Player Log
[00:05:12] 312.98,Muttnik,Zenyatta,768,384,0,647.85,2,1,0,0,0,603.85,1,0,0,0,0,72,0,0,0,200,Player Log
[00:05:13] 313.77,LiamFox,Ana,608.98,336.01,0,357.52,1,1,1,0,0,1247.01,0,0,1,0,0,100,0,9.68,168.32,200,Player Log
[00:05:14] Hybrid,314.56,False,33.33,0,0,MG Log
[00:05:14] 0,1,0,0,Information Log
[00:05:14] 314.59,Geumeon,Winston,874.58,0,1300.00,2433.08,1,2,1,0,0,0,0,0,0,0,0,74,0,5.28,522.35,550,Player Log
[00:05:15] 315.38,Apollo,Cassidy,1518.52,0,0,1070.44,0,5,1,0,0,0,3,0,1,0,0,100,0,9.51,260.63,260.63,Player Log
