[00:01:45] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:01:45] Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0,Geumeon,Apollo,HOUSE,RAT,ENIGMA,0
[00:03:29] 209.29,Chappadoodle,D.Va,1883.73,1442.16,1187.50,2583.78,0,3,2,0,0,0,0,0,1,0,0,100,1.98,0,369.70,650,Player Log
[00:03:30] 210.06,Bunny,Hanzo,851.15,934.46,0,552.37,0,2,0,0,0,0,1,0,0,0,0,77,0,1.46,177.80,200,Player Log
[00:03:30] 210.86,mmmatt,Tracer,871.67,492.43,0,180.32,0,4,1,0,0,0,2,0,1,0,0,100,0,0,107.76,150,Player Log
[00:03:31] 211.66,Muttnik,Zenyatta,616.14,240,0,349.59,0,2,1,0,0,989.36,1,0,0,0,0,80,0,0,200,200,Player Log
[00:03:32] 212.46,LiamFox,Ana,375.50,144.60,0,369.27,1,2,0,0,0,2170.29,2,0,1,1,0,4,0,0,200,200,Player Log
[00:03:33] 213.26,Geumeon,Winston,1364.58,0,2452,2521.29,1,1,0,0,0,0,1,0,0,0,0,93,3.48,6.72,546.60,550,Player Log
[00:03:34] 214.06,Apollo,Cassidy,1461.85,0,0,522.35,1,1,1,0,0,0,1,0,0,0,0,90,3.99,0,225,225,Player Log
[00:03:34] 214.38,FinalBlow,HOUSE,mmmatt,Primary Fire
[00:03:34] 214.48,FinalBlow,Bunny,RAT,Ability 2
[00:03:34] 214.86,HOUSE,Tracer,833.16,0,0,482.42,1,2,1,0,0,0,1,0,0,0,0,98,0,0,150,150,Player Log
[00:03:35] 215.66,RAT,Brigitte,108.50,0,1255.33,894.39,1,0,0,0,0,1718.65,0,0,0,0,0,76,0,0,0,200,Player Log
[00:03:36] 216.46,ENIGMA,Ana,459.51,0,0,475.75,1,0,0,0,0,1594.70,0,0,0,0,0,97,0,0,200,200,Player Log
[00:03:37] Hybrid,217.25,False,33.33,0,0,MG Log
[00:03:37] 0,1,0,0,Information Log
[00:03:37] 217.29,Chappadoodle,D.Va,2089.93,1735.16,1187.50,2730.93,0,4,2,0,0,0,0,0,1,0,0,100,0.76,0,430.77,650,Player Log
[00:03:38] 218.06,Bunny,Hanzo,899.54,999.46,0,552.37,0,3,1,0,0,0,1,0,0,0,0,83,4.62,6.26,177.80,200,Player Log
[00:03:38] 218.86,mmmatt,Tracer,965.48,502.52,0,288.08,1,5,1,0,0,0,2,0,1,0,0,100,0,0,0,150,Player Log
[00:03:39] 219.66,Muttnik,Zenyatta,616.14,325.60,0,349.59,0,3,1,0,0,1230.80,1,0,0,0,0,89,0,0,200,200,Player Log
