[00:01:12] Havana,DinnerTime,LeylineFirebird,0,8
[00:01:12] morning,Parallaxian,TOPSPEED,mobee01,Lex,0,Vulpie,Pocky,Dreamer,Raven,Snafucius,0
[00:02:50] 170.59,TOPSPEED,Mercy,0,0,0,416.12,0,0,0,0,0,834.14,0,0,0,0,0,67,0,0,200,200,Player Log
[00:02:51] 171.39,mobee01,Ana,741.77,0,0,139.57,0,1,1,0,0,1061.50,0,0,0,0,0,94,1.64,8.89,200,200,Player Log
[00:02:52] 172.19,Lex,Ashe,1285.55,0,0,677.51,1,2,0,0,0,0,0,0,0,0,0,62,0,0.49,131.36,200,Player Log
[00:02:52] 172.99,Vulpie,Wrecking Ball,918.48,0,0,2385.30,1,0,0,0,0,0,0,0,0,0,0,83,0,5.59,166.54,700,Player Log
[00:02:53] 173.79,Pocky,Widowmaker,457.90,537.50,0,541.13,1,0,0,0,0,0,0,0,0,0,0,62,0,0,168.60,175,Player Log
[00:02:54] 174.59,Dreamer,Baptiste,649.38,550,0,444.28,0,1,0,0,0,1178.12,0,0,0,0,0,84,0,0,200,200,Player Log
[00:02:55] 175.39,Raven,Hanzo,406.25,488.60,0,711.86,0,2,1,0,0,0,1,1,0,0,0,49,0.55,0,200,200,Player Log
[00:02:56] 176.19,Snafucius,Zenyatta,530.75,320.68,0,65,0,1,1,0,0,769.23,1,0,0,0,0,70,0,0,200,200,Player Log
[00:02:56] Escort,176.98,False,21.06,0,MG Log
[00:02:56] 0,1,0,0,Information Log
[00:02:57] 177.01,morning,Sigma,427.31,0,1944.78,1155.50,1,0,0,0,0,0,0,0,0,0,0,45,0,0,550,550,Player Log
[00:02:57] 177.79,Parallaxian,Hanzo,1692.93,0,0,574.06,0,1,1,0,0,0,0,0,1,0,0,100,7.78,0,200,200,Player Log
[00:02:58] 178.59,TOPSPEED,Mercy,0,0,0,416.12,0,0,0,0,0,1074.50,0,0,0,0,0,84,0,0,200,200,Player Log
[00:02:59] 179.39,mobee01,Ana,741.77,0,0,139.57,0,1,1,0,0,1100.50,0,0,0,0,0,98,0,0.89,200,200,Player Log
[00:03:00] 180.19,Lex,Ashe,1414.32,0,0,797.51,1,2,0,0,0,0,0,0,0,0,0,70,9.93,6.78,139.71,200,Player Log
[00:03:00] 180.99,Vulpie,Wrecking Ball,1077.39,81.64,0,2385.30,1,0,0,0,0,0,0,0,0,0,0,94,0,14.10,870.94,960,Player Log
[00:03:01] 181.79,Pocky,Widowmaker,577.90,639.86,0,700.48,1,0,0,0,0,0,0,0,0,0,0,72,11.11,0,175,175,Player Log
[00:03:02] 182.59,Dreamer,Baptiste,649.38,700,0,542.07,0,1,0,0,0,1311.87,0,0,0,0,0,90,0,0,106.61,200,Player Log
[00:03:03] 183.39,Raven,Hanzo,406.25,613.60,0,711.86,0,2,1,0,0,0,1,1,0,0,0,52,5.46,0,146.72,200,Player Log
[00:03:04] 184.19,Snafucius,Zenyatta,638.75,560.68,0,65,0,1,1,0,0,898.59,1,0,0,0,0,81,0,0,200,200,Player Log
[00:03:04] Escort,184.98,False,23.86,0,MG Log
[00:03:04] 0,1,0,0,Information Log
[00:03:04] 184.99,FinalBlow,Pocky,Lex,Primary Fire
[00:03:05] 185.01,morning,Sigma,465.11,0,2595.78,1373.50,1,0,0,0,0,0,0,0,0,0,0,48,0,0,406.64,550,Player Log
[00:03:05] 185.79,Parallaxian,Hanzo,1945.33,0,0,611.31,0,1,1,0,0,0,0,0,1,1,0,4,0,5.78,192.75,200,Player Log
